,PlayerIDSID,PlayerFirstName,PlayerLastName,PlayerNumber,P,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,GP,Poss,Time,Points,FGA,FGM,PPP,WorsePPP,BetterPPP,PossG,PPG,FGAG,FGMG,FGmG,FGm,FG,aFG,FT,TO,SF,PlusOne,Score
45,201196,Ramon,Sessions,7,G,1610612764,Washington Wizards,WAS,Washington,40,142,35.06169891357422,133,102,46,0.9366199970245361,195,30,3.55,3.325,2.55,1.15,1.4,56,45.09803921568628,46.07843137254902,18.309859154929576,12.67605633802817,16.197183098591548,2.816901408450704,47.88732394366197
46,203487,Michael,Carter-Williams,5,G,1610612749,Milwaukee Bucks,MIL,Milwaukee,39,192,33.27560043334961,133,142,60,0.6927080154418945,77,148,4.923076923076923,3.41025641025641,3.641025641025641,1.5384615384615385,2.102564102564102,82,42.25352112676056,42.95774647887324,4.6875,22.395833333333332,5.208333333333333,1.5625,34.375
47,2037,Jamal,Crawford,11,G,1610612746,Los Angeles Clippers,LAC,LAClippers,41,168,30.324899673461914,131,133,47,0.7797620296478271,124,101,4.097560975609756,3.1951219512195124,3.2439024390243905,1.146341463414634,2.097560975609756,86,35.338345864661655,39.097744360902254,9.523809523809524,13.095238095238095,8.333333333333334,1.7857142857142858,35.714285714285715
48,203952,Andrew ,Wiggins,22,F,1610612750,Minnesota Timberwolves,MIN,Minnesota,42,162,17.252399444580078,130,119,42,0.80246901512146,135,90,3.857142857142857,3.0952380952380953,2.8333333333333335,1.0,1.8333333333333335,77,35.294117647058826,37.39495798319328,17.28395061728395,10.493827160493828,14.197530864197532,1.8518518518518519,40.74074074074074
49,201936,Tyreke,Evans,1,G,1610612740,New Orleans Pelicans,NOP,NewOrleans,22,142,37.07569885253906,122,106,45,0.859154999256134,161,64,6.454545454545454,5.545454545454546,4.818181818181818,2.0454545454545454,2.772727272727273,61,42.45283018867924,48.58490566037736,9.154929577464788,17.6056338028169,6.338028169014085,1.408450704225352,39.436619718309856
50,203521,Matthew,Dellavedova,8,G,1610612739,Cleveland Cavaliers,CLE,Cleveland,38,161,47.2140998840332,122,123,51,0.7577639818191528,108,117,4.2368421052631575,3.210526315789474,3.236842105263158,1.3421052631578947,1.8947368421052633,72,41.46341463414634,46.7479674796748,3.1055900621118013,21.11801242236025,3.1055900621118013,0.6211180124223602,34.161490683229815
51,201954,Darren,Collison,7,G,1610612758,Sacramento Kings,SAC,Sacramento,35,131,27.754199981689453,121,97,46,0.9236639738082886,189,36,3.742857142857143,3.4571428571428573,2.7714285714285714,1.3142857142857143,1.457142857142857,51,47.422680412371136,52.06185567010309,9.923664122137405,18.3206106870229,9.16030534351145,2.2900763358778624,42.74809160305343
52,203115,Will,Barton,5,G,1610612743,Denver Nuggets,DEN,Denver,42,137,20.980100631713867,121,109,48,0.8832119703292847,175,50,3.261904761904762,2.880952380952381,2.5952380952380953,1.1428571428571428,1.4523809523809526,61,44.03669724770642,47.706422018348626,7.299270072992701,14.598540145985401,5.839416058394161,1.4598540145985401,40.87591240875913
53,203484,Kentavious,Caldwell-Pope,5,G,1610612765,Detroit Pistons,DET,Detroit,41,135,21.565500259399414,120,112,48,0.8888890147209167,177,47,3.292682926829268,2.926829268292683,2.731707317073171,1.170731707317073,1.5609756097560978,64,42.857142857142854,45.089285714285715,8.88888888888889,9.62962962962963,7.407407407407407,1.4814814814814814,42.96296296296296
54,977,Kobe,Bryant,24,G,1610612747,Los Angeles Lakers,LAL,LALakers,35,155,22.04840087890625,120,114,45,0.7741940021514893,117,108,4.428571428571429,3.4285714285714284,3.257142857142857,1.2857142857142858,1.9714285714285713,69,39.473684210526315,45.175438596491226,7.741935483870968,18.70967741935484,7.741935483870968,0.6451612903225806,35.483870967741936
55,2749,Jameer ,Nelson,1,G,1610612743,Denver Nuggets,DEN,Denver,36,180,47.61899948120117,118,128,45,0.6555560231208801,58,167,5.0,3.2777777777777777,3.5555555555555554,1.25,2.3055555555555554,83,35.15625,40.234375,4.444444444444445,25.0,3.888888888888889,0.5555555555555556,28.88888888888889
56,201588,George,Hill,3,G,1610612754,Indiana Pacers,IND,Indiana,36,143,30.752700805664062,115,121,44,0.8041960000991821,136,89,3.9722222222222223,3.1944444444444446,3.361111111111111,1.2222222222222223,2.138888888888889,77,36.36363636363637,40.49586776859504,6.293706293706293,10.48951048951049,4.895104895104895,1.3986013986013985,35.66433566433567
